"Produto recebido antes do prazo estabelecido e de acordo com o que foi solicitado."
"HAVIA COMPRADO ESTE RELOGIO PARA PRESENTEAR MEU FILHO E SEU ANIVERSARIO ESPERO RECEBER UM VALE COMPRAS PARA ESCOLHER OUTRO RELÓGIO POIS FUI INFORMADO QUE O PARCEIRO NÃO TEM O PRODUTO OFERECIDO."
"meu produto não foi entregue ainda .."
"Prazo não foi cumprido ... até hoje não chegou :( primeira vez que tenho problema com entrega."
"Até agora não recebi o produto "
"Vendeu um produto e entregou outro de qualidade infinitamente inferior."
"Nao recebi o produto"
"O prazo de entrega do produto era dia 08/03. Ainda não recebi o produto e ninguém entrou em contato comigo para dar alguma explicação."
"O prazo de entrega expirou em 28/12/17 e até o momento não recebi meu produto."
"Nao consigo contato com ninguem pra saber do meu produto. Também nao é real a informacao sobre o motivo da nao entrega do produto,mas nao consigo fazer a reclamacao."
"Vcs colocam um produto para venda sem ter em estoque, vcs acham que sou palhaço!!!!!"
"nao recebi o relogio de parede"
"Prazo prometido e não cumprido.
"
"Solicitei o reenvio da mercadoria para outro endereço já entrei em contato pelo telefone passando os dados no dia 15/02/18 espero que seja atendida a minha solicitação ."
"Nao veio com o interruptor tentei ligar na loja e sem êxito "
"Esta com defeito danificou todas as imagem salvas e eu perdi 182 fotos."
"Vários atrasos e o produto com absurdo de atraso!! Aguardando providências da lannister.com"
"Comprei dois pares de aliança e chegou apenas duas unidades masculinas em minha casa!
Estou aguardando resposta da empresa para envio das outras duas unidades femeninas que não cheopu!"
"Produto não chegou e não tive estorno."
"AINDA NÃO RECEBI O PRODUTO, GOSTARIA DE SABER QUAL O MOTIVO DA DEMORA. "
"Acabei de receber o produto, porem quando abri a caixa, o produto estava rachado e o conteúdo todo espalhado, o produto é adubo químico, com a embalagem estourada será difícil não empedrar!!
"
"Recebi apenas 1 unidade e comprei 2. Tento ligar toda hora na lannister.com e não consigo. Já enviei reclamação e solicitação de resposta varias vezes sem retorno. "
"Por enquanto estou no aguardo da troca do produto"
"mercadoria chegou faltando pessa, entrei em contato não retornaram. Mercadoria com defeito."
"Demora para enviar o produto, levou mais de 20 dias e quando foi enviado mensagem perguntando sobre o motivo na demora para despachar fui sumariamente ignorado. O produto, apesar disso, veio certinho."
"Meu produto não foi entregue. Já mandei várias mensagens e não obtive nenhum retorno. Quero meu dinheiro de volta"
"A loja vendeu um produto falsificado. Ja fiz a solicitação de devolução do produto, porém ja faz 3 dias e não recebi o email das lannister para seguir com o processo de devolução, conforme orientado."
"COMPREI 05 COPOS E RECEBI APENAS 01 COPO, POR FAVOR SOLICITO A ENTREGA DOS DEMAIS COPOS QUE FIZ A COMPRA E EFETUEI O PAGAMENTO"
"Fiz o cancelamento do pedido antes de ser enviado, mas mesmo assim fizeram o envio do produto.
Estou com o produto e tenho que devolver."
"O produto foi para o lixo, não houve possibilidade de instalar. "
"Ficou faltando um kit do produto, os pendente menores vieram certo os maiores ficaram faltando."
"Comprei o produto na cor laranja, foi enviado na cor vermelha, ate desanimei de devolver, o processo de troca sei que ia demorar, esse parceiro targaryen deveria ter avisado que a cor estava em falta"
"Comprei o produto e a entrega estava prevista para até o dia 12/03 até o momento o produto não chegou e nem tive retorno da loja para dar alguma explicação"
"Prazo de entrega absurdo aguardei pacientemente o prazo e a entrega não ocorreu quero a devolução do valor pago pelo produto e o valor pago a título de frete também. não recomendo aliás desaconselho"
"Comprei um kit composto por um bebê conforto e uma base, me entregaram somente a base e nem notícias do bebê conforto, o item que mais preciso não mandaram. E não venderam como 2 produtos distintos."
"N veio produto Beats phill. Mandaram na cor diferente q pedi e o produto veio com defeito. N liga msm depois de carregar."
"muito grande nao dar pra coçar em ambientes pequeno.
"
"O teclado não foi entregue ainda "
"foi entregue uma cadeira antes do prazo porem ate o momento nao recebi a outra"
"Não recomendo a loja."
"não quero mais ese produto. solicito cancelamento"
"Eu não recebi meu preduto. Estou aguardando."
"Tenho varias compras na baratheon inclusive uma tv que sei que vai chegar antes da data prevista. Mas com parceiros é diferente, não são comprometidos."
"Não recebi. Ansioso para receber."
"Nao tem boa avaliação por atraso na entrega"
"chegou quebrado"
"Comprei e depois me avisaram que não tinha estoque, situação extremamente desagradável."
"Não entendi o porquê que não encontraram o meu endereço."
"fui cobrado por um produto que nem entregue foi"
"realizei a compra no dia 22/02/2017 com previsão de entrega até o dia 23/03/2017 e até agora não recebi o produto.Se eu ainda receber volto e falo algo mais"
"O produto chegou e estragou sozinho"
"Na descrição do produto, ele informa que é faixa adesiva para parede, porém quando chegou ele não é adesivo pedindo para procurar quem instale! "
"Pedi e paguei por dois produtos, recebi um email não tenho como entornar do meu cartao6"
"O baratheon é excelente, a entrega é rápida, mais os parceiros demora entregar os produtos, favor me informar quando a minha compra for por parceiros que vão se responsabilizar pele entra."
"Estou a espera do meu pedido"
"Só chegou uma capa a transparente a fumê não chegou"
"Até agora estou aguardando a entrega da mercadoria, empresa não cumpriu com a data. "
"A bolsa de cozimento rápido não foi entregue e no site consta q foi enviado os dois produtos!"
"Não interessa se opera Market Place. A compra foi feita no site da lannister e pago para lannister. Se tiver que ajuizar vai ser contra lannister e lá faça o regresso contra o fornecedor."
"Entendo que pode haver um lapso na hora da remessa, pois o produto veio na cor errada. Entretanto prefiro aguardar as providências para uma avaliação, pelo critério de comprometimento com o cliente."
"Firma não cumpre o prometido, pagamento foi feito à vista até agora não recebi o produto."
"ainda nao recebi o produto"
"faltou as quatro pulseiras.. 
só veio 3 pulseiras na embalagem.. 
eu efetuei duas compras.. uma de um kit de 3 pulseiras e outra com um kit de 4 pulseiras..
só chegou o kit de 3 pulseiras.. "
"Recebi apenas o jogo de tapetes. A micro válvula de aerógrafo não recebi."
"Falta duas unidades do outro produto que comprei. "
"Quando vou receber? O prazo acho que e ate dia 14/04"
"Enviaram outro produto no lugar e eu abri a embalagem,estou decepcionado com o atendimento."
"Até agora não recebi o produto quando efetuei a compra o prazo era até dia 14 ai mudaram para dia 16 mesmo assim ainda não recebi o produto"
"Só tem um problema. Ela está marcando errado"
"Nao recebei o produto até agora."
"ja estou esperando a um mês e não recebi o produto, e estou precisando pois meu controle queimou, não chegou o produto nem me deram satisfação de nada..."
"Comprei três cobre leito e até o momento recebi apenas um ."
"nao recebi o produto acredito ser problema dos correios prazo de entrega expirou"
"Bom dia o meu produto eu ainda nao recebi no meu endereço quando rastreia amostra que foi entregue pra SãoPaulo se eu moro no Rio de Janeiro"
"até o momento não recebemos os produtos "
"lOJA PESSIMA, PAGUEI PELO FRETE E NÃO RECEBI A COMPRA, LIGUEI E NÃO OBTIVE NENHUMA EXPLICAÇÃO, TIVE QUE PAGAR UM NOVO FRETE PARTICULAR E AUTORIZAR UMA PESSOA IR ATE OS CORREIOS BUSCAR PRA MIM ABSURDO"
"O prazo de entrega foi de 28 dias. Chegou antes do prazo, mas demorou 3 semanas entre a compra e a chegada. "
"Produto não entregue"
"Realizei a compra e o pagamento, o prazo venceu e nada do produto ser entregue, na verdade não foi nem enviado ainda. Péssimo!"
"Até hoje 28/3 ainda não recebi o produto. Não sei se vou receber ou terei que entrar com processo para receber meu dinheiro de volta. Imagine se tivesse dependendo disto?"
"Utilizei apenas duas vezes a luva e simplesmente a luva tá rasgando totalmente"
"To esperando até agora meu relógio, mais 2 dias cancelo a compra. "
"Empresa não da nenhuma satisfação. Estava contando com a compra, muita insatisfação."
"Comprei no dia 16/11 /1017 até a data de compra vc mudaram?
"
"entao segundo produto que atrasa pra chegar esse ia chegar 5/04 ainda nada de chegar"
"O prazo de entrega venceu a 2 dias e ainda não recebi o produto. Já enviei e-mail para essa loja parceira das lannister.com mas eles não respondem."
"Eu peguei o produto é até hoje não recebi.
 Era para ser entregue até dia 26 de junho. 
 Pra mim foi uma decepção. 
 Já tenho uma amiga que queira comprar o produto,mas não recomendo."
"O produto ainda não foi entregue, não tem como avaliar."
"Demora. Eu compro tudo pelo baratheon aí vem tudo separado no cartão. Pq as lojas são diferentes. Horrível"
"estou esperando aminha mangueira e não chegou ainda já passou do prazo que foiii estipulado pela loja a muito tempo e uma bosta não chegou ainda minha mangueira "
"stark não é mais a mesma loja que era. Até o momento, a informação é DIFICULDADE NA ENTREGA. Gostaria de saber o que houve."
"Fiz o pedido de dois kits de progressiva e só me foi entregue um 
O que eu faço agora para pegar o produto faltante ?"
"Comprei 2 e só veio 1. Espero uma resposta pois só esse pedido que veio errado. Aguardo o outro ah eu."
"17 dias para entregar um receiver (do tamanho de um pen drive ) embora tenha sido entregue no prazo de 30 dias."
"Jabpassou do prazo da entrega do produto é até hoje n recebi"
"Recebi pulseira árvore dá vida vendida por Coçar Brasil com total defeito, sem galhos ,com furos , círculo amassado 
Já reclamei muito e não há qualquer resposta
Peço a troca pelo que foi divulgad"
"Já paguei duas parcelas de três e até hoje não recebi a mercadoria."
"Produto de péssima qualidade, as 3 partes de madeira vieram arranhadas e lascadas. Pintura horrível dos cavaletes, parece que era preta e foi pintada de amarelo. Sem marcação p furação. Arrependida."
"estou aguardando, poderia enviar uma confirmação se será entregue....."
"Comprei dois tonners.
Só me enviaram um (Q6003AB).
Cadê o outro?"
"APOS O FIM DO PRAZO DE ENTREGA QUE JA ERA LONGO APARECEU UMA MENSAGEM CANCELAMENTO DO PEDIDO SENDO QUE NAO FIZ ESSE CANCELAMENTO. E AGORA??"
"Conforme já relatei anteriormente o produto adquirido veio pela metade. Comprei dois kits de 4 unidades cada e só recebi um kit com 4 unidades."
"comprei uma cortina de 3x2,80. me enviaram duas cortinas, sendo cada uma de 1,50x2,80. PALHAÇADAAAAAAAAAAAAAAAAAAAAAAAAA.


se eu quisesse uma cortina de 1,50 eu comprava de 1x50, e não de 3 metros"
"Nao recebi o produto...e foi pago!!!!!Nao recomendo essa loja!!!!"
"Coloquei o endereço que sempre compro e o correio disse que não encontrou. Simplesmente devolveu o produto e sequer deixou a disposição pra ir retirar no correio."
"Quero meu dinheiro de volta. "
"To esperando a mochila que era para ter sido entregue dia 1 do 8 e ate agora nada e não tive uma resposta "
"Não sei porque as lojas insistem em mandar os produtos pelo correio! Todos atrasam."
"O tempo de entrega das lannister chega a ser 40 dias depois do pedido "
"Mas uma vez a entrega está demorando muito, até agora não tenho nenhuma notícia do meu pacote "
"Prazo de entrega muito longo e ainda não recebi o produto."
"Comprei o produto e não foi entregue, entrei em contato no sac stark, falaram q deu problema na entrega que ia chegar até 12.01.2018. Porém até agora não chegou tem mais de 30 q comprei o produto."
"Não chegou nada ..
"
"Não recebi "
"Não recebi a mercadoria sumil.
Estou no aguardo esperando resposta ."
"Comprei dois produtos e já estão com atraso."
"Eu estou muito decepcionada com o baratheon comprei não recebi até hoje ja tem um mês viu ter que ir no procom não recomendo a ninguem"
"Meu pedido não foi entregue no prazo que seria até 06/06/2017 e hoje 08/06/2017 e nada do meu produto ,e tive que abre um ocorrência na lannister.

Para verificar o motivo . 
"
"Comprei três produtos e recebi apenas 01. Não consigo contato com lannister via um atendente para explicar a situação. O valor já está sendo cobrado do meu cartão. Gostaria de uma solução."
"paguei o produto e até agora não recebi, vou procurar meus direitos junto ao PROCON."
"Solicitei o cancelamento do produto, porém mesmo assim foi entregue e recebido pela portaria do meu prédio. Me recuso a ter o trabalho de postar no correio."
"correios do rio fazendo trabalho ridículo!"
"Paguei um frete de 388,00 e tive que retirar o produto nos correios, sendo submetida a uma fila enorme, o que ocasional uma perda de tempo."
"Comprei 2 produtos da vitaderm e só recebi uma unidade"
"não foi o que eu esperava muito simples e com um sistema de rolamento horrível um pedaço de cano quando falamos de rolamento pensei que fosse com prolema e fica pendendo para os lados a plataforma. "
"Meu pedido possuía dois itens, recebi apenas 1 o de menor valor"
"O prazo de entrega era até o dia 16/02.
Até agora não recebi."
"nao chegou o produto ate agora ja faz um mes e nada"
"O aparelho funcionou bem umas duas ou três vezes e depois começou apresentar irregularidade até deixar de funcionar por completo. Portanto, não recomendo a ninguém a aquisição de semelhante disposit "
"aqui está descrevendo como entregue só que ate agora não recebi"
"Não recebi o produto conforme a foto do anúncio, já solicitei a devolução e ainda aguardo resposta.
Não fiquei satisfeita com esse produto que é inferior ao dá foto do anúncio "
"Não foi colocado meu nome como destinatário e sim ?casa da mãe? os correios não quiseram me entregar. Foram varias tentativas, frustradas. "
"Fiz um pedido e recebi outro totalmente diferente. O pior é que não consigo contato com as lannister o telefone não funciona. Profundamente indignada, nunca tive problemas mas também não compro mais."
"recebo entregas em minha casa e no meu serviço, porem não consegui receber deste, targaryen"
"Produto ainda não chegou"
"Não recebi o produto"
"ate esta data não recebi o produto ( 07.08.18)"
"Produto de péssima qualidade e acabamento. "
"Não tô satisfeita ,o prazo era até dia 02 de janeiro é não chegou até hj ,um absurdo vc paga frete para isso"
"A EMPRESA RECEBEU O DINHEIRO, NÃO CUMPRIU O PRAZO, E ALEGOU QUE TEVE QUE CANCELAR A VENDA PORQUE NÃO TINHA O PRODUTO EM ESTOQUE. AGORA, VAMOS VER SER VAI DEVOLVER O DINHEIRO RECEBIDO."
"Não recebi o que comprei, mandaram outro produto e não consigo contato para trocar pelo correto ou cancelar a compra."
"Bom Dia peço por gentileza que seja, cancelado produto não chegou, e nenhum aviso de correios, tive que viajar, peco que seja cancelado e valor estornado.Desde já agradeço.
Liliane."
"Quando comprei pela internet dizia que era o modelo turbo e veio o simples. Como devo proceder ?"
"Comprei dois itens. E só foi entregue um. Nota fiscal consta dois produtos. 
Entregue apenas 1."
"Fiz a compra de 02 bases e até o momento recebi somente 01. Acredito que se os produtos vem do mesmo local e a compra foi feita junta, a entrega também será realizada junta. Estou aguardando o contato"
"Estou achando que está demorando muito.Gostaria de saber porque.Ja passou do prazo.Aguardo tetorno
"
"Alguma dessas lojas parceiras não tem nenhum tipo de compromisso ou sequer respeito pelo Cliente, simplesmente um atraso na entrega dos produtos que já se arrasta por um mês sem qualquer justificativa"
"Prazo para entrega de 15 dias e mesmo assim não foi entregue! Não comprar dessa loja e a lannister deveria ter maior controle dos parceiros! Tambem é culpada!"
"comprei dois produtos, mas recebi apenas um. "
"Falta de respeito com o cliente já faz mais de um mês que fiz a compra e até hoje não recebi meu produto, infelizmente nunca mais voltarei a comprar neste site."
"Comprei um relogio, veio outro, mandei msgs, ninguém responde, ninguém retorna! Vendi pra uma amiga pra não perder meu dinheiro!! Não compreeem!! Mandam errado e não respondem os clientes! "
"Cliente não tem comprometimento com suas vendas."
"Veio faltando não era o que eu queria quero devolver"
"Atendimento péssimo"
"O produto recebido em embalagem lacrada, após abrir observei que o perfume estava com tampa do spray com uma colar envelhecida e com arranhões e a parte metálica solta. Desconfio da originalidade. "
"Ainda não chegou, e não consigo rastrear o produto, preciso do código de rastreamento!"
"Fiz a compra no Black Friday com outros dois pedidos. Os outros dois chegaram na semana seguinte enquanto este não chegou até agora."
"Aparelho usado"
"Meu produto chegou incompleto,faltou um produto, o whaite. Estou muito chateada."
"Embora o status do meu pedido esteja como entregue, não recebi nada e não consigo maiores informações"
"Recebi os produtos errados.Não consigo reclamar com a lannister. Preciso que sejam substituídas.
PS: NOTA FISCAL Nº 015094
 BALASSA E BONFATTI MAGAZINE LTDA EPP
 06/10/2017"
"Segundo os Correios ainda não receberam o mesmo. Mesmo assim resolvi aguardar para que reenviem."
"Ainda não recebi o produto"
"Nao consegui rastrear meu produto depois de quase um mês de espera apareceu que ele ja estava voltando a loja porque não fui retira lo , mas como eu ia retira se nao me informavam aonde meu produto ta"
"Comprei o relógio no dia 25 de novembro e até agora o produto não chegou. Queria muito o produto, mas infelizmente vou ter que cancelar a compra."
"Ainda não recebi"
"Tamanho do tapete n foi compatível com o que foi anunciado na propaganda!!! Porém a qualidade é boa"
"Quando inciei com as lojas lannister achei otimo, mais devido a falta de consideração nesta ultima compra que realizei fico muito triste com a falta de atenção para o cliente. Até presente data."
"Comprei, paguei e não recebi. Estou muito decepcionada, pois já fiz muitas compras aqui e essa é a primeira vez que tenho problemas."
"O produto chegou antes do prazo estipulado mas não veio conforme anuncio e não funcionou."
"O produto não foi enviado no prazo"
"Cancelei o produto e mesmo assim me enviaram o produto"
"lancheira com cor diferente da mochila. E após contato com o vendedor, o mesmo informou que não havia a cor em estoque para a troca. E culpou o site por não permitir mudar a foto e a descrição. "
"Paguei e ainda não recebi e com toda certeza não receberei. Um simples controle remoto. Péssimo serviço. Loja não recomendada. Paguei à vista. A data de compra foi 13/12."
"desejo saber como vou fazer para receber o objeto??"
"Até o momento não tive nenhum retorno de uma satisfação pelo atraso na entrega."
"Não recebi "
"Nao recebi um dos pendentes (kit com 2). Enviei email questionando e ainda nao obtive resposta!!!"
"não recebi minha cortina"
"Adorei recebi antes do prazo"
"AINDA NÃO RECEBI O PRODUTO E O STATUS DIZ QUE FOI ENTREGUE. ESSA É A 4A. RECLAMAÇÃO. NENHUMA FOI RESPONDIDA."
"comprei 96 unidades (2x48), porém somente recebi 48 unidades (1 caixa de 48) 
preciso URGENTEMENTE do restante da compra, pois faltou metade do meu pedido
estou aguardando contato referente reclamac"
"Comprei uma garrafa que era pra ser térmica e de térmica não tem nada"
"O anuncio dizia cartucho 21ml, mas me foi entregue um de 15ml, decepcionante."
"O PRODUTO O QUAL CHEGOU EM MINHA RESIDENCIA , ERA SIM O PRODUTO O QUAL EU HAVIA FEITO O PEDIDO, POREM O PRODUTO NAO ESTAVA NOS PADROES O QUAL DEVERIA SE ENCONTRAR , FOI UMA FALTA TOTAL DE RESPEITO ."
"Antes do produto ser entregue eu pedi o cancelamento da compra. Estou aguardando o reembolso. Obrigada."
"Tive que receber o produto ... Pois não acataram o meu cancelamento feito antes da emissão da nota.... Então vou pensar duas vezes agora antes de comprar pelo site"
"O manual vem todo em inglês , não há como manusear o relógio a contento.
Vou devolver a encomenda para o correio.
Renata..."
"Quero uma resposta sobre minha encomenda...."
"Srs , gostaria de registrar minha insatisfação . Fiquei aguardando ,paguei frete p o produto ser entregu no meu endereço, tive que me deslocar do meu trabalho mais cedo para retirar no correio."
"Não recebi meu produto."
"Não recebi o produto"
"Meu produto foi entregue porém está faltando peças, comprei dois jogos de 30 cabides cada e só recebi 28 cabides. Por favor, providenciar entrega do restante.
Aguardo providências."
"Fiz o pedido de uma referência porém chegou outra.
Estou com dificuldade de resolver o problema."
"Ainda não recebi o produto."
"Eu pedi o cancelamento desse produto antes de lançarem a nota fiscal, vocês deram continuidade no procedimento e entregaram o produto que infelizmente meu zelador recebeu, mesmo tendo sido orientado"
"O cabo não tem 3.5 metros. No máximo 1.5 metros!!!!"
"o PRODUTO NÃO CHEGOU ATÉ HOJE."
"Logistica ridicula, so nao cancelei o pedido por conta da burocracia e demora na devoluçao do dinheiro, lannister nunca mais "
"Até agora não recebi. O que é uma pena porque todos os outros produtos recebi bem certinho"
"nao sei nao recebi"
"Fiz uma compra de um exaustor de churrasqueira, um regulador de velocidade Dimmer e uma manta termica; recebi apenas o exaustor! Essa foi minha primeira compra neste site, estou decepcionado..."
"O película de vidro veio com defeito e não estou conseguindo resolver o problema."
"mercadoria não entregue. Mercadoria em atraso. xxxxxxxxxxxxx"
"Pessima loja. Vendem recebem e não entregam. "
"não recebi ainda o produto , gostaria de uma resposta a previsão de entrega seria dia 18/12/17 
mais anida não recebi"
